Name;Type;Units  or  mass;Status;Launched;NORAD  ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Launch  brokerer;Oneliner;Images
TISAT-1;CubeSat;1U;Semi-operational?  Fell  silent  2015-03-15,  but  came  back?  (SatNOGS  report  2018-12-16);2010-07-12;36799;XPOD  (eXperimental  Push  Out  Deployer)  [UTIAS/SFL];PSLV;University  of  Applied  Sciences  of  Southern  Switzerland  (SUPSI);University;Academic  /  Education;Switzerland;Space  Flight  Laboratory  (UTIAS-SFL);Materials  experiment  to  monitor  atomic  oxygen  effects.;['https://dl.airtable.com/FvGFpOAQ2SD9FBJaNMo7_tisat1_full.jpg']
Hermes  1;CubeSat;1U;Launch  failure;2011-03-04;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur-C  (Taurus-XL);University  of  Colorado  in  Boulder;University;Academic  /  Education;US;Cal  Poly,  ?;Demonstrate  CubeSat  platform  technologies  and  high  data-rate  communication  system.;['https://dl.airtable.com/lkwvPsITqaVFoOazMTzw_Hermes.jpg',  'https://dl.airtable.com/.attachments/4e6829584367965d8a8e340bd7cd1c2d/21829d22/Hermes_KySat_E1P.jpg']
KySat-1;CubeSat;1U;Launch  failure;2011-03-04;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur-C  (Taurus-XL);Kentucky  universities;University;Academic  /  Education;US;Cal  Poly,  ?;Educational  outreach  using  mobile  ground  stations  taken  to  schools.;['https://dl.airtable.com/HmHJ6j60QZLWFjwIaJ4p_KySat-1.jpg',  'https://dl.airtable.com/.attachments/02f6842555fed6889b1fbc53ddade00c/9a22e7fd/Hermes_KySat_E1P.jpg']
AubieSat-1  (OSCAR-71,  AO  71,  AubieSat-OSCAR  71);CubeSat;1U;Was  operational  until  2013-12-31?  (DK3WN  report);2011-10-28;37854;P-POD  (Poly-Picosatellite  Orbital  Deployer);Delta  II;Auburn  University;University;Academic  /  Education;US;Cal  Poly;Measure  average  density  of  ionospheric  electronics  using  Faraday  rotation  effect.;['https://dl.airtable.com/kLCQJw3TK2YRBvCQa4Q1_AubieSat.jpg']
e-st@r  (e-star-i);CubeSat;1U;Reentry  2015-01-16.  Was  operational  until  2012-12-XX,  communication  stopped.;2012-02-13;38079;P-POD  (Poly-Picosatellite  Orbital  Deployer);Vega;Polytechnic  University  of  Turin;University;Academic  /  Education;Italy;ESA  Education  Office,  Cal  Poly;Demonstrate  CubeSat  platform  technologies  for  educational  purposes  with  focus  on  ADCS.;['https://dl.airtable.com/.attachments/490e7b15edb45d08ae0e22a0e04512b5/1910982c/estarI_1.png']
Goliat;CubeSat;1U;Reentry  2014-12-31.  Was  semi-operational  until?  Intermittent  beacons,  but  no  two-way  communications.;2012-02-13;38080;P-POD  (Poly-Picosatellite  Orbital  Deployer);Vega;University  of  Bucharest;University;Academic  /  Education;Romania;ESA  Education  Office,  Cal  Poly;Educational  space  systems  engineering  and  camera.;['https://dl.airtable.com/.attachments/707d4b7ae9142bc2c90769ceb841a860/9f987bcf/goliat.png',  'https://dl.airtable.com/mF9AvLSqTqOCAbqNlyVA_Goliat.jpg']
UNICubeSat-GG  (Gravity  Gradient);CubeSat;1U;Reentry  2015-02-06.  Was  semi-operational  until  2012-02-20,  1-2  weeks.;2012-02-13;38085;P-POD  (Poly-Picosatellite  Orbital  Deployer);Vega;Sapienza  University  of  Rome;University;Academic  /  Education;Italy;ESA  Education  Office,  Cal  Poly;Demonstrate  passive  attitude  control  technique  based  on  gravity  gradient  stabilization  with  deployable  boom.;['https://dl.airtable.com/3D6CdhLkRPuL6OgEEQOy_UniCubeSat-GG_esa.jpg']
HORYU-2;Nanosatellite;7.1  kg;Semi-operational?  Was  operational  until  2014-07-XX?  (Last  SatNOGS  CW  beacons  2019-05-15,  but  data  seems  gibberish.  Last  DK3WN  report  2016-07-08.  Checked  on  2019-05-24);2012-05-17;38340;Custom;H-IIA  (H2A);Kyushu  Institute  of  Technology;University;Academic  /  Education;Japan;JAXA;Demonstration  of  solar  array  discharge  suppression  technologies  at  300V  and  taking  photos  of  Earth.  ;['https://dl.airtable.com/INE2clwySgKNxGsVrW9w_HORYU-2.jpg']
CubeBug-1  (Capitán  Beto);CubeSat;2U;Was  operational  until  2013-12-XX?  (Online  reports  end  there);2013-04-26;39153;ISIPOD  [ISISpace];Long  March  2D;Satellogic;Company;Commercial;Argentina;ISILaunch;Demonstrate  CubeSat  platform  technologies  including  reaction  wheels  and  star  tracker.;['https://dl.airtable.com/r8G7pFoTDG4zdrGnztZw_Cubebug1_tumblr_mn0u3ir7ys1rv4b8yo6_1280.png']
Black  Knight  1  (BK  1);CubeSat;1U;Reentry  2015-07-16.  No  signal;2013-11-20;39398;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;West  Point  Military  Academy;University;Academic  /  Education;US;Tyvak,  ?;Educational  training  for  space  systems  engineering  and  camera  payload.;['https://dl.airtable.com/.attachments/ea4a7fbdd245846088d374fbb3d3c608/881e08ae/BlackKnight1_31103bk1.png',  'https://dl.airtable.com/E8nxXYKEQnCUGeNQ56YU_Black%20Knight%201.png']
Firefly;CubeSat;3U;Reentry  2017-11-01.  Was  operational.;2013-11-20;39404;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;NASA  Goddard  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;Tyvak,  ?;Investigate  Terrestrial  Gamma-ray  Flashes  (TGFs).;['https://dl.airtable.com/yjRwsEkUS9KuYt2LvNHG_firefly.jpeg']
Ho‘oponopono  2  (H2);CubeSat;3U;No  signal;2013-11-20;39403;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;University  of  Hawaii  at  Manoa;University;Academic  /  Education;US;Tyvak,  ?;Radar  calibration  service.;['https://dl.airtable.com/NWOKzM3BROWORTZq5xkQ_Ho%E2%80%98oponopono%202%20(H2).png']
NPS-SCAT  (Naval  Postgraduate  School  Solar  Cell  Array  Tester);CubeSat;1U;Reentry  2015-10-28.  Was  operational  until  2013-11-25,  5  days.;2013-11-20;39389;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;Naval  Postgraduate  School  (NPS)  ;University;Academic  /  Education;US;Tyvak,  ?;Experiment  to  measure  solar  cells  degradation.;['https://dl.airtable.com/SVegWZZQLiEz9gyPuIFA_NPS-SCAT.jpg']
SwampSat;CubeSat;1U;Reentry  2015-12-13.  No  signal.;2013-11-20;39402;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;University  of  Florida;University;Academic  /  Education;US;Tyvak,  ?;Demonstrate  on  orbit  precision  three  axis  attitude  control  using  a  pyramidal  configuration  of  control  moment  gyroscopes. 
                                        ;['https://dl.airtable.com/YhmOqBEvR9q8GmQ0epVX_SwampSat.png',  'https://dl.airtable.com/7w9bEJsRZ607WvH0ccd9_SwampSat_2.jpg']
Trailblazer  (SPA-1  Trailblazer);CubeSat;1U;Reentry  2016-05-22.  No  signal.;2013-11-20;39400;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;University  of  New  Mexico;University;Academic  /  Education;US;Tyvak,  ?;Proof-of-concept  flight  for  Space  Plug-and-play  Architecture.  ;['https://dl.airtable.com/2T777nQkTxy28xhLJCti_trailblazer-1__1.jpg']
CubeBug-2  (Manolito);CubeSat;2U;Operational  (Last  WR2TV  report  2019-05-23  checked  on  2019-05-24);2013-11-21;39440;ISIPOD  [ISISpace];Dnepr;Satellogic;Company;Commercial;Argentina;ISILaunch;Demonstrate  CubeSat  platform  technologies  including  reaction  wheels  and  star  tracker.;['https://dl.airtable.com/qZSvVYReRiGXSjP3GVDv_cubebug-2.jpg']
FUNcube-1  (AO-73);CubeSat;1U;Operational  (Last  DK3WN  report  2018-12-28);2013-11-21;39444;ISIPOD  [ISISpace];Dnepr;AMSAT-UK;Non-profit;Government  (Civil  /  Military);UK;ISILaunch;Educational  and  amateur  radio  mission  linear  transponder.;['https://dl.airtable.com/Wp3O25DsREmNdzpljaW3_funcube-1-flight-model-image-credit-wouter-weggelaar-pa3weg.jpg']
HiNCube;CubeSat;1U;No  signal;2013-11-21;39445;ISIPOD  [ISISpace];Dnepr;Narvik  University  College;University;Academic  /  Education;Norway;ISILaunch;Educational  training  and  demonstrate  CubeSat  platform  technologies  plus  camera.;['https://dl.airtable.com/L5DiaWJiQEirRykd93R9_zacube-1-funcube-1-and-hincube-in-the-pod.jpg']
HumSat-D;CubeSat;1U;Was  operational  until  2014-08-XX?  (Last  DK3WN  report  2014-08-05,  checked  2019-05-24).;2013-11-21;39433;PEPPOD,  GPOD  (GAUSS  Picosatellites  Orbital  Deployer)  [GAUSS];Dnepr;University  of  Vigo;University;Academic  /  Education;Spain;GAUSS;Educational  training  and  demonstrate  IoT  solution.;['https://dl.airtable.com/.attachments/76ef8306fcfdb84bbfc7a2af675e741a/5ec3be15/PUCP-SAT_ICUBE_HUMSAT.jpg',  'https://dl.airtable.com/mlMqdQl0QUGnfqbQy52g_HumSat-D.png']
ICUBE  1;CubeSat;1U;Was  operational  until  2014-01-08?;2013-11-21;39432;PEPPOD,  GPOD  (GAUSS  Picosatellites  Orbital  Deployer)  [GAUSS];Dnepr;Islamabad  Institute  of  Science  and  Technology;Institute;Government  (Civil  /  Military);Pakistan;GAUSS;Educational  space  systems  engineering  and  imaging  payload.;['https://dl.airtable.com/.attachments/db796400c7623a7dac660c97bd2dd78d/73295480/PUCP-SAT_ICUBE_HUMSAT.jpg',  'https://dl.airtable.com/nXSadpHBTk6NPwbLNYfO_icube-1__1.jpg']
OPTOS  (Optical  Nanosatellite);CubeSat;3U;Was  operational?  (Confirmed  operational  in  eoPortal,  but  no  recent  public  news  found);2013-11-21;39420;ISIPOD  [ISISpace];Dnepr;National  Institute  of  Aerospace  Technology;Space  agency;Government  (Civil  /  Military);Spain;ISILaunch;Demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/ULYsZaQfRTKrmMyhbRUh_OPTOS_AutoF.jpg']
UWE-3;CubeSat;1U;Operational  (Last  W2RTV  report  2019-05-24  checked  on  2019-05-24);2013-11-21;39446;ISIPOD  [ISISpace];Dnepr;University  of  Würzburg;University;Academic  /  Education;Germany;ISILaunch;Demonstrate  modular  CubeSat  platform  technologies  and  real-time  attitude  control.;['https://dl.airtable.com/kKsi2TdRJyMoREAUzZxn_UWE-3_IMG_5573-1100x440.jpg']
VELOX-P2  (VELOX-PII,  VELOX-P);CubeSat;1U;Was  operational?  (No  recent  news  found);2013-11-21;39438;ISIPOD  [ISISpace];Dnepr;Nanyang  Technological  University;University;Academic  /  Education;Singapore;ISILaunch;Educational  training  and  demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/T6vowhKwQqi8PutLe2Yr_VELOX-P2.png']
M-Cubed  2  (MCUBED-2);CubeSat;1U;Operational  (Last  W2RTV  report  2019-04-20  checked  on  2019-05-24);2013-12-06;39469;P-POD  (Poly-Picosatellite  Orbital  Deployer);Atlas  V;University  of  Michigan;University;Academic  /  Education;US;Tyvak,  ?;Flight  evaluation  of  a  NASA  JPL  image  processing  FPGA  called  COVE.;['https://dl.airtable.com/qUPX2dfqSPacnoEOyN3h_M-Cubed2_IMG_72521.jpg']
TacSat-6;CubeSat;3U;Operational?  (No  public  news  found);2013-12-06;39473;P-POD  (Poly-Picosatellite  Orbital  Deployer);Atlas  V;Space  &  Missile  Defense  Command;Military;Government  (Civil  /  Military);US;Tyvak,  ?;The  mission  will  demonstrate  nanosatellite  communication  capabilities. 
                                        ;['https://dl.airtable.com/Y97EJvigQieOhweqNm0B_SMDC.jpg']
ARTSAT1:  Invader  (INteractiVe  satellite  for  Art  and  Design  Experimental  Research);CubeSat;1U;Reentry  2014-09-02.  Was  operational.;2014-02-27;39577;J-POD  (JAXA  Picosatellite  Deployer);H-IIA  (H2A);Tama  Art  University;University;Academic  /  Education;Japan;JAXA;Artistic  use  of  satellite  telemetry.;['https://dl.airtable.com/382ZWi8RDmhQR5190Vkt_invader__1.jpg']
SPROUT;Nanosatellite;6.7  kg;Semi-operational?  Was  operational  until  2016-09-XX?  (Last  DK3WN  report  2016-08-27.  Occasional  reports  from  SatNOGS  checked  on  2019-05-25);2014-05-24;39770;Custom;H-IIA  (H2A);Nihon  University;University;Academic  /  Education;Japan;JAXA,  ?;Demonstration  of  inflatable  membrane  structure.;['https://dl.airtable.com/s9Ir8aoCTkGtDPphlwxX_sprout.jpg']
Duchifat-1;CubeSat;1U;Operational  (Last  JA0CAW  report  2019-03-14.  Last  SatNOGS  report  2019-05-24.);2014-06-19;40021;QuadPack  (XL)  [ISISpace];Dnepr;Herzliya  Science  Centre;School;Academic  /  Education;Israel;ISILaunch;Transmit  real-time  information  via  radio  amateur  packets  APRS  protocol  to  receive  with  handheld  radios.;['https://dl.airtable.com/Ggfp70sWQZ2jiQDgZWl5_Duchifat-1-e1434703251249.jpg']
PACE  (Platform  for  Attitude  Control  Experiments);CubeSat;2U;No  signal;2014-06-19;40022;QuadPack  (XL)  [ISISpace];Dnepr;National  Cheng  Kung  University;University;Academic  /  Education;Taiwan;ISILaunch;Conduct  attitude  control  experiment  to  validate  technologies.;['https://dl.airtable.com/yfSwgTnySpGI4fXaELog_pace__1.jpg']
PolyITAN-1;CubeSat;1U;Operational  (Last  SatNOGS  report  2018-12-22  with  proper  data.  Last  DK3WN  report  2019-03-12.  Checked  on  2019-05-25);2014-06-19;40042;QuadPack  (XL)  [ISISpace];Dnepr;National  Technical  University  of  Ukraine;University;Academic  /  Education;Ukraine;ISILaunch;Educational  training  and  demonstrate  CubeSat  platform.;['https://dl.airtable.com/oNTpVsjSQWQsk7CqIqQQ_polyitan-1.jpg']
