Name;Type;Units  or  mass;Status;Launched;NORAD  ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Manufacturer;Operator;Launch  brokerer;Costs;Oneliner;Failure  cause;Keywords;Images
PicPoT  (Small  Satellite  of  Politecnico  di  Torino);Nanosatellite;2.5  kg;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;Polytechnic  University  of  Turin;University;Academic  /  Education;Italy;?;?;Cal  Poly;?;Educational  space  systems  engineering  and  taking  photos.;?;?;['https://dl.airtable.com/9nBbsCymRAS3rbVc3Yzl_PiCPoT.jpg']
RinCon  1;CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;University  of  Arizona;University;Academic  /  Education;US;?;?;Cal  Poly;?;Independent  low-power  beacon  system  in  analog  form.;?;?;['https://dl.airtable.com/Zi2evRAlQnyetf7CSHxM_RinCon.png']
SACRED  (AlcatelSat);CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;University  of  Arizona;University;Academic  /  Education;US;?;?;Cal  Poly;?;Measure  the  total  amount  of  radiation  and  test  radiation  effect  on  four  commercial  integrated  circuits.  ;?;?;['https://dl.airtable.com/r2NSTXlTQJa9aine90cH_RinCon.png']
SEEDS;CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;Nihon  University;University;Academic  /  Education;Japan;?;?;Cal  Poly;?;Educational  space  systems  engineering.;?;?;['https://dl.airtable.com/NdtBDDaDShGB3IuSsQ6c_SEEDS.jpg']
HIT-Sat;Nanosatellite;2.7  kg;Reentry  2008-06-18.  Was  operational  until  2007-02-03,  afterwards  intermittent  beacon.;2006-09-22;29484;Custom;M-V  (M-5);Hokkaido  Institute  of  Technology;University;Academic  /  Education;Japan;?;?;JAXA,  ?;?;Demonstrate  CubeSat  platform  technologies.;?;?;['https://dl.airtable.com/LSJ2J6LRQYeTa1vuiExw_HIT-Sat.jpg']
RAFT1;Nanosatellite;4  kg;Reentry  2007-05-30.  Was  operational.;2006-10-12;29661;SSPL  (Space  Shuttle  Picosatellite  Laincher,  PLA,  Picosatellite  Launcher  Assembly);Space  Shuttle;US  Naval  Academy  Satellite  Lab;University;Academic  /  Education;US;?;?;?;?;Calibrating  of  and  tracking  by  Navy  Space  Surveillance  (NSSS)  radar  fence.;?;?;['https://dl.airtable.com/P1Oy4YSLRbFZriJDZcdo_MARScom020x.JPG']
MARScom;Nanosatellite;3  kg;Reentry  2007-05-06.  No  signal,  lack  of  reports.;2006-12-09;29662;SSPL  (Space  Shuttle  Picosatellite  Laincher,  PLA,  Picosatellite  Launcher  Assembly);Space  Shuttle;US  Naval  Academy  Satellite  Lab;University;Academic  /  Education;US;?;?;?;?;Educational  space  systems  engineering  with  communications  focus.;?;?;['https://dl.airtable.com/nVv59KHjQeuuUBkxQv0Q_MARScom020x.JPG']
MEPSI;CubeSat;1U;?;?;?;?;?;DARPA;Military;Government  (Civil  /  Military);US;?;?;?;?;Tethered  pair  to  demonstrate  the  capability  of  deploying  an  onboard  miniature  autonomous  inspector.;?;Tether,  Propulsion;['https://dl.airtable.com/9lsYDR2TStuOLRQ4S7jV_MEPSI-2.png',  'https://dl.airtable.com/.attachments/6f190ff2fcb12eaeb92c797412ef79c0/fd3be266/MEPSI-2AB_STS-116.jpg',  'https://dl.airtable.com/.attachments/02bca2182b378281076b675e971fb980/1d6da5d9/MEPSI-2AB.png']
MEPSI;CubeSat;1U;?;?;?;?;?;DARPA;Military;Government  (Civil  /  Military);US;?;?;?;?;Tethered  pair  to  demonstrate  the  capability  of  deploying  an  onboard  miniature  autonomous  inspector.;?;Tether,  Propulsion;['https://dl.airtable.com/9lsYDR2TStuOLRQ4S7jV_MEPSI-2.png',  'https://dl.airtable.com/.attachments/6f190ff2fcb12eaeb92c797412ef79c0/fd3be266/MEPSI-2AB_STS-116.jpg',  'https://dl.airtable.com/.attachments/02bca2182b378281076b675e971fb980/1d6da5d9/MEPSI-2AB.png']
GeneSat-1;CubeSat;3U;Reentry  2010-08-04.  Was  operational.;2006-12-16;29655;P-POD  (Poly-Picosatellite  Orbital  Deployer);Minotaur  I;NASA/Santa  Clara  University;Space  agency;Government  (Civil  /  Military);US;?;?;?;?;Perform  experiment  on  E.  Coli  bacteria  in  space,  first  cubesat  to  carry  a  biological  experiment. 
